workingset(Bytes),stride(Bytes),cycles
1024, 8, 654
2048, 8, 1104
4096, 8, 1955
8192, 8, 3392
16384, 8, 6800
32768, 8, 13604
65536, 8, 26230
131072, 8, 49044
262144, 8, 105653
524288, 8, 208242
1048576, 8, 418284
2097152, 8, 838940
4194304, 8, 1680840
8388608, 8, 3360458
16777216, 8, 7046194
33554432, 8, 14189872
67108864, 8, 28259888
134217728, 8, 56081708
268435456, 8, 115712483
536870912, 8, 230500734

1024, 64, 626
2048, 64, 1134
4096, 64, 1866
8192, 64, 3551
16384, 64, 6850
32768, 64, 14837
65536, 64, 79782
131072, 64, 159892
262144, 64, 420972
524288, 64, 828200
1048576, 64, 1677862
2097152, 64, 3499930
4194304, 64, 6723558
8388608, 64, 13562682
16777216, 64, 29013138
33554432, 64, 82109378
67108864, 64, 152348054
134217728, 64, 318084450
268435456, 64, 610717482
536870912, 64, 1219885057

1024, 128, 643
2048, 128, 1093
4096, 128, 1852
8192, 128, 3550
16384, 128, 6773
32768, 128, 14249
65536, 128, 87188
131072, 128, 178336
262144, 128, 428280
524288, 128, 966568
1048576, 128, 1937802
2097152, 128, 3931491
4194304, 128, 8575444
8388608, 128, 17397921
16777216, 128, 42008267
33554432, 128, 196105189
67108864, 128, 383188016
134217728, 128, 774271395
268435456, 128, 1526270446
536870912, 128, 3056820102

1024, 256, 624
2048, 256, 1040
4096, 256, 1893
8192, 256, 3428
16384, 256, 7040
32768, 256, 14374
65536, 256, 81830
131072, 256, 163324
262144, 256, 494264
524288, 256, 1535784
1048576, 256, 3072394
2097152, 256, 6549178
4194304, 256, 12965717
8388608, 256, 24579870
16777216, 256, 56846202
33554432, 256, 366561197
67108864, 256, 797376290
134217728, 256, 1583819946
268435456, 256, 2989565862
536870912, 256, 6241327590

1048576, 32768, 3485968
2097152, 32768, 10615529
4194304, 32768, 30641467
8388608, 32768, 62183185
16777216, 32768, 119169074
33554432, 32768, 284103954
67108864, 32768, 604718194
134217728, 32768, 1362088373
268435456, 32768, 5827052234
536870912, 32768, 12859051884
