workingset(Bytes),stride(Bytes),cycles
1024, 8, 882
2048, 8, 1152
4096, 8, 1686
8192, 8, 2712
16384, 8, 4824
32768, 8, 9148
65536, 8, 17469
131072, 8, 34247
262144, 8, 68809
524288, 8, 137689
1048576, 8, 275997
2097152, 8, 549435
4194304, 8, 1103825
8388608, 8, 2480937
16777216, 8, 5271978
33554432, 8, 10798852
67108864, 8, 21611201
134217728, 8, 42985499
268435456, 8, 85413517
536870912, 8, 173515535

1024, 64, 893
2048, 64, 1156
4096, 64, 1708
8192, 64, 2712
16384, 64, 4831
32768, 64, 9132
65536, 64, 49902
131072, 64, 101673
262144, 64, 209869
524288, 64, 460339
1048576, 64, 925750
2097152, 64, 1851082
4194304, 64, 3789715
8388608, 64, 10045233
16777216, 64, 27390494
33554432, 64, 57330175
67108864, 64, 117255873
134217728, 64, 236316474
268435456, 64, 469519054
536870912, 64, 942080737

1024, 128, 917
2048, 128, 1148
4096, 128, 1666
8192, 128, 2725
16384, 128, 4798
32768, 128, 9128
65536, 128, 50164
131072, 128, 106461
262144, 128, 246664
524288, 128, 564491
1048576, 128, 1148289
2097152, 128, 2296659
4194304, 128, 4657638
8388608, 128, 20334458
16777216, 128, 70872915
33554432, 128, 153306737
67108864, 128, 323344943
134217728, 128, 651401436
268435456, 128, 1294104462
536870912, 128, 2501033190

1024, 256, 888
2048, 256, 1145
4096, 256, 1677
8192, 256, 2733
16384, 256, 4839
32768, 256, 10130
65536, 256, 53502
131072, 256, 108135
262144, 256, 306059
524288, 256, 868109
1048576, 256, 1806298
2097152, 256, 3659776
4194304, 256, 7568883
8388608, 256, 42386379
16777216, 256, 152998540
33554432, 256, 334142064
67108864, 256, 661196351
134217728, 256, 1369276349
268435456, 256, 2850184509
536870912, 256, 5525957216

1048576, 32768, 1870762
2097152, 32768, 4675607
4194304, 32768, 12193358
8388608, 32768, 32254227
16777216, 32768, 83648714
33554432, 32768, 224704196
67108864, 32768, 1156558520
134217728, 32768, 2906775368
268435456, 32768, 5718764825
536870912, 32768, 11123803269
