bits,partition,build,probe,all
2, 1816.1, 1462.0, 1096.4, 4374.5
3, 1877.1, 1147.8, 931.2, 3956.1
4, 1833.8, 842.4, 660.7, 3336.8
5, 1928.8, 803.6, 539.5, 3271.9
6, 1951.0, 677.5, 453.9, 3082.3
7, 1909.4, 665.7, 440.4, 3015.6
8, 2002.4, 624.5, 420.0, 3046.9
9, 2033.0, 578.8, 389.4, 3001.2
10, 2068.0, 543.2, 343.8, 2954.9
11, 2248.8, 587.8, 281.5, 3118.1
12, 2289.0, 600.7, 279.3, 3169.0
13, 2391.2, 614.1, 278.6, 3283.9
14, 2247.5, 577.5, 251.1, 3076.2
15, 2364.0, 585.4, 248.4, 3197.9
16, 2285.0, 519.0, 247.5, 3051.5
17, 2289.6, 393.6, 250.1, 2933.3
18, 2512.4, 459.6, 288.3, 3260.3
19, 2380.4, 439.2, 276.9, 3096.4
20, 2369.5, 422.3, 262.2, 3054.0
21, 2462.8, 432.9, 273.4, 3169.1
