bits,partition,build,probe,all
2, 2104.6, 1463.2, 1098.8, 4666.6
3, 2090.8, 1138.0, 918.4, 4147.2
4, 2215.9, 864.1, 672.0, 3752.0
5, 2151.3, 733.3, 499.3, 3383.9
6, 2317.8, 700.9, 468.4, 3487.1
7, 2110.9, 658.7, 441.4, 3211.0
8, 2134.5, 629.6, 423.8, 3187.9
9, 2182.0, 587.0, 393.1, 3162.1
10, 2110.7, 542.5, 341.2, 2994.4
11, 2205.5, 589.7, 282.7, 3077.9
12, 2159.7, 603.5, 279.7, 3042.9
13, 2113.9, 579.0, 261.2, 2954.2
14, 2162.7, 617.0, 251.3, 3031.0
15, 2301.1, 624.7, 264.8, 3190.7
16, 2237.6, 520.7, 247.6, 3005.9
17, 2452.8, 415.9, 262.5, 3131.3
18, 2412.6, 417.1, 261.4, 3091.1
19, 2334.1, 402.5, 254.9, 2991.5
20, 2450.8, 419.4, 262.4, 3132.5
21, 2469.8, 541.4, 277.7, 3288.9
