bits,partition,build,probe,all
1, 1949.6, 1978.0, 1198.6, 5126.2
2, 2009.4, 1473.8, 1101.1, 4584.4
3, 1970.9, 1156.1, 940.5, 4067.6
4, 1982.8, 834.1, 660.2, 3477.1
5, 2079.0, 717.1, 498.8, 3294.9
6, 2369.9, 709.6, 477.9, 3557.4
7, 2176.5, 658.0, 445.2, 3279.6
8, 2190.2, 641.9, 427.0, 3259.1
9, 2309.4, 600.8, 406.3, 3316.5
10, 2262.0, 544.3, 346.4, 3152.8
11, 2474.7, 677.8, 326.7, 3479.3
12, 2864.1, 646.9, 302.7, 3813.7
13, 3202.6, 575.1, 264.4, 4042.1
14, 3529.7, 660.8, 291.0, 4481.5
15, 3538.8, 580.8, 249.9, 4369.6
16, 3883.8, 601.4, 289.1, 4774.3
17, 3655.9, 392.4, 252.8, 4301.2
18, 3717.0, 427.0, 271.5, 4415.5
19, 3643.3, 413.0, 262.8, 4319.1
20, 3841.7, 484.3, 294.8, 4620.9
