bits,partition,build,probe,all
1, 2190.5, 2036.2, 1247.3, 5474.0
2, 2160.8, 1539.7, 1137.6, 4838.1
3, 2071.4, 1203.1, 968.6, 4243.0
4, 2253.0, 909.5, 699.1, 3861.7
5, 2085.5, 789.0, 539.4, 3414.0
6, 2086.7, 679.1, 457.9, 3223.8
7, 2278.5, 751.4, 505.3, 3535.2
8, 2248.9, 629.0, 427.2, 3305.1
9, 2333.2, 643.2, 435.4, 3411.8
10, 2335.3, 576.6, 364.0, 3275.9
11, 2559.7, 679.0, 328.5, 3567.2
12, 2645.6, 605.7, 283.8, 3535.1
13, 2653.2, 594.3, 273.1, 3520.6
14, 2630.0, 590.6, 260.2, 3480.7
15, 2762.4, 587.4, 250.9, 3600.7
16, 2894.6, 549.6, 265.4, 3709.6
17, 3287.7, 450.8, 289.3, 4027.8
18, 3583.8, 427.4, 270.9, 4282.1
19, 4615.8, 466.7, 295.4, 5377.9
20, 5507.2, 415.1, 263.9, 6186.2
