bits,partition,build,probe,all
2, 1526.5, 1571.0, 949.8,4047.3
3, 1584.5, 1413.4, 927.0,3924.9
4, 1555.6, 1054.3, 763.0,3372.9
5, 1608.3, 760.4, 613.7, 2982.4
6, 1523.6, 587.2, 378.7, 2489.5
7, 1545.7, 572.0, 377.6, 2495.3
8, 1548.7, 553.4, 372.5, 2474.6
9, 1582.8, 544.3, 362.2, 2489.3
10, 1615.5, 540.6, 332.8, 2488.8
11, 1563.2, 582.9, 290.9, 2436.9
12, 1576.0, 588.7, 286.0, 2450.7
13, 1630.0, 605.7, 286.0, 2521.7
14, 1513.6, 565.0, 257.4, 2336.0
15, 1547.8, 591.4, 260.4, 2399.7
16, 1556.6, 523.5, 261.2, 2341.2
17, 1600.2, 392.6, 263.6, 2256.4
18, 1599.0, 391.5, 261.8, 2252.3
19, 1565.8, 388.5, 259.1, 2213.4
20, 1611.4, 402.6, 272.3, 2286.3
21, 1633.8, 413.7, 278.7, 2326.2
22, 1691.4, 474.4, 282.3, 2448.1
23, 2046.2, 721.9, 405.8, 3173.8
24, 2201.6, 1212.2, 632.2, 4046.0
25, 2628.9, 2097.6, 1005.0, 5731.4
