bits,partition,build,probe,all
2, 1703.1, 1589.7, 960.6, 4253.4
3, 1622.2, 1346.6, 886.3, 3855.1
4, 1627.0, 1029.4, 755.1, 3411.6
5, 1627.7, 717.3, 585.6, 2930.6
6, 1656.2, 591.3, 375.1, 2622.6
7, 1672.5, 584.9, 388.1, 2645.5
8, 1640.8, 547.1, 370.9, 2558.8
9, 1596.7, 508.3, 341.7, 2446.7
10, 1684.2,532.7, 327.2, 2544.1
11, 1607.8,573.4, 284.7, 2465.9
12, 1700.2,607.5, 297.0, 2604.8
13, 1622.1,575.4, 268.0, 2465.5
14, 1697.5,603.7, 273.8, 2575.0
15, 1630.8,579.3, 256.3, 2466.4
16, 1703.5,537.0, 267.6, 2508.2
17, 1631.8,381.4, 255.5, 2268.7
18, 1670.2,389.5, 260.5, 2320.2
19, 1727.2,407.2, 272.1, 2406.5
20, 1663.2,392.2, 264.7, 2320.1
21, 1743.5,414.0, 279.4, 2436.9
22, 2111.8,496.6, 294.5, 2902.9
23, 2277.4,836.3, 473.7, 3587.4
24, 3306.4,1267.3, 661.2, 5234.8
25, 3076.3,2205.6, 1053.7, 6335.6
