bits,partition,build,probe,all
2, 1193.1, 1627.1, 1004.6, 3824.8
3, 1204.6, 1393.4, 914.2, 3512.2
4, 1216.9, 1069.4, 695.1, 2981.4
5, 1224.1, 778.2, 396.5, 2398.7
6, 1229.4, 718.8, 363.4, 2311.6
7, 1232.1, 607.8, 341.8, 2181.7
8, 1234.2, 492.0, 297.6, 2023.8
9, 1238.6, 326.5, 237.7, 1802.8
10, 1243.1, 330.2, 191.2, 1764.5
11, 1294.8, 383.8, 186.7, 1865.3
12, 1352.5, 384.4, 184.6, 1921.5
13, 1358.9, 381.2, 179.9, 1920.0
14, 1366.3, 382.8, 174.5, 1923.6
15, 1367.9, 389.4, 173.0, 1930.3
16, 1362.0, 334.1, 172.3, 1868.5
17, 1363.7, 247.1, 173.9, 1784.7
18, 1349.1, 255.5, 173.8, 1778.4
19, 1349.0, 252.3, 177.2, 1778.5
20, 1350.4, 253.7, 183.0, 1787.1
21, 1365.6, 261.9, 185.9, 1813.3
