bits,partition,build,probe,all
1, 1246.6, 1696.6, 1028.6, 3971.8
2, 1249.2, 1440.4, 1008.0, 3697.6
3, 1252.4, 1199.7, 916.1, 3368.2
4, 1256.1, 872.8, 693.0, 2822.0
5, 1259.3, 583.2, 393.3, 2235.8
6, 1314.0, 543.2, 362.8, 2220.0
7, 1320.6, 485.0, 341.2, 2146.8
8, 1327.7, 414.0, 297.6, 2039.3
9, 1331.1, 321.9, 237.1, 1890.1
10, 1342.9, 326.6, 190.5, 1860.0
11, 1377.6, 383.9, 185.6, 1947.1
12, 1439.4, 382.8, 183.7, 2005.9
13, 1505.3, 378.5, 178.7, 2062.5
14, 1538.7, 382.9, 173.3, 2094.9
15, 1572.1, 388.4, 171.2, 2131.7
16, 1628.2, 333.9, 170.8, 2132.9
17, 1685.3, 246.0, 172.3, 2103.5
18, 1805.3, 247.8, 172.7, 2225.8
19, 1925.8, 252.1, 176.1, 2354.0
20, 2243.7, 252.9, 182.3, 2678.8
