bits,partition,build,probe,all
1, 1335.4, 1692.5, 1024.7, 4052.6
2, 1325.9, 1435.7, 1003.3, 3764.9
3, 1326.5, 1185.9, 911.1, 3423.4
4, 1326.3, 863.0, 692.9, 2882.2
5, 1328.5, 583.5, 401.6, 2313.5
6, 1327.8, 538.3, 362.7, 2228.8
7, 1331.0, 486.4, 341.4, 2158.8
8, 1340.3, 415.3, 299.6, 2055.2
9, 1348.2, 323.3, 237.6, 1909.1
10, 1352.8, 327.3, 190.8, 1870.9
11, 1379.5, 384.1, 186.1, 1949.7
12, 1418.3, 381.6, 183.8, 1983.7
13, 1488.8, 379.3, 179.2, 2047.3
14, 1527.8, 383.0, 173.7, 2084.4
15, 1585.4, 389.8, 172.0, 2147.1
16, 1699.9, 336.9, 171.5, 2208.3
17, 1937.3, 247.5, 173.1, 2357.9
18, 2548.1, 249.0, 173.1, 2970.2
19, 3148.2, 251.1, 176.1, 3575.4
20, 3925.0, 254.0, 182.3, 4361.3
