workingset(Bytes),stride(Bytes),cycles
1024, 8, 879
2048, 8, 1142
4096, 8, 1695
8192, 8, 2714
16384, 8, 4785
32768, 8, 9098
65536, 8, 17460
131072, 8, 34169
262144, 8, 68779
524288, 8, 138337
1048576, 8, 274712
2097152, 8, 593410
4194304, 8, 1120077
8388608, 8, 2516718
16777216, 8, 5284019
33554432, 8, 11113747
67108864, 8, 21429949
134217728, 8, 43509071
268435456, 8, 88269307
536870912, 8, 185650693

1024, 64, 880
2048, 64, 1142
4096, 64, 1695
8192, 64, 2712
16384, 64, 4788
32768, 64, 9132
65536, 64, 52130
131072, 64, 101647
262144, 64, 232531
524288, 64, 545428
1048576, 64, 1111472
2097152, 64, 2225975
4194304, 64, 4471734
8388608, 64, 12041292
16777216, 64, 30717100
33554432, 64, 64479903
67108864, 64, 132312549
134217728, 64, 272684538
268435456, 64, 552879386
536870912, 64, 1102920213

1024, 128, 879
2048, 128, 1146
4096, 128, 1677
8192, 128, 2720
16384, 128, 4788
32768, 128, 9460
65536, 128, 53481
131072, 128, 113823
262144, 128, 255464
524288, 128, 564625
1048576, 128, 1147997
2097152, 128, 2303744
4194304, 128, 4833633
8388608, 128, 23058558
16777216, 128, 72374036
33554432, 128, 151656025
67108864, 128, 320334743
134217728, 128, 649484139
268435456, 128, 1287860406
536870912, 128, 2581286531

1024, 256, 878
2048, 256, 1158
4096, 256, 1662
8192, 256, 2716
16384, 256, 4816
32768, 256, 10045
65536, 256, 53397
131072, 256, 106370
262144, 256, 317106
524288, 256, 890171
1048576, 256, 1830146
2097152, 256, 3740308
4194304, 256, 7714470
8388608, 256, 40932636
16777216, 256, 138294726
33554432, 256, 311446089
67108864, 256, 652144798
134217728, 256, 1361796539
268435456, 256, 2724160135
536870912, 256, 5585683360

1048576, 32768, 1599991
2097152, 32768, 4475476
4194304, 32768, 12627389
8388608, 32768, 34355172
16777216, 32768, 83039021
33554432, 32768, 191697298
67108864, 32768, 1166729372
134217728, 32768, 2892774724
268435456, 32768, 5812369986
536870912, 32768, 11922236003
