bits,partition,build,probe,all
1, 1572.6, 1921.3, 962.3, 4456.2
2, 1547.1, 1543.5, 929.6, 4020.3
3, 1562.4, 1371.2, 888.6, 3822.2
4, 1542.7, 1047.6, 743.6, 3334.0
5, 1564.4, 731.5, 582.1, 2878.0
6, 1565.4, 594.1, 374.5, 2533.9
7, 1544.9, 566.5, 373.1, 2484.6
8, 1557.3, 550.8, 369.0, 2477.2
9, 1572.5, 521.8, 346.2, 2440.5
10, 1586.3, 527.3, 320.8, 2434.4
11, 1615.6, 578.5, 290.0, 2484.1
12, 1696.0, 587.8, 285.0, 2568.7
13, 1744.3, 582.0, 274.9, 2601.2
14, 1836.7, 605.0, 273.1, 2714.8
15, 1840.6, 594.1, 261.8, 2696.6
16, 2001.9, 526.7, 261.9, 2790.6
17, 2335.4, 388.3, 262.3, 2986.0
18, 3209.7, 387.8, 257.3, 3854.8
19, 4013.8, 394.7, 262.0, 4670.5
20, 4772.3, 408.6, 272.1, 5453.1
21, 5787.2, 430.3, 288.8, 6506.3
22, 6433.4, 515.8, 305.0, 7254.3
23, 7282.3, 723.8, 405.8, 8412.0
24, 8098.8, 1251.9, 648.4, 9999.1
25, 10741.2, 2232.3, 1055.5, 14029.0
