bits,partition,build,probe,all
2, 1379.1, 1626.1, 1004.8, 4010.0
3, 1378.3, 1396.4, 914.7, 3689.4
4, 1380.1, 1064.6, 695.8, 3140.5
5, 1378.1, 776.3, 394.7, 2549.0
6, 1376.2, 714.8, 363.2, 2454.1
7, 1374.5, 613.3, 342.0, 2329.8
8, 1376.0, 491.7, 298.0, 2165.6
9, 1375.4, 326.7, 238.1, 1940.1
10, 1380.8, 330.2, 191.1, 1902.1
11, 1382.1, 387.4, 186.4, 1956.0
12, 1382.7, 386.5, 184.8, 1954.0
13, 1384.1, 383.8, 179.7, 1947.7
14, 1383.2, 382.3, 174.6, 1940.1
15, 1388.5, 388.7, 172.6, 1949.8
16, 1388.7, 335.3, 172.1, 1896.1
17, 1391.5, 246.6, 173.6, 1811.7
18, 1388.5, 250.1, 173.7, 1812.3
19, 1400.3, 252.2, 177.5, 1830.0
20, 1412.4, 252.9, 183.0, 1848.3
21, 1444.5, 262.2, 186.2, 1892.9
